# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AATBC	AATBC	NR_026961.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_004915.3	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCG1	ABCG1	NM_016818.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCG1	ABCG1	NM_207174.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCG1	ABCG1	NM_207627.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCG1	ABCG1	NM_207628.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCG1	ABCG1	NM_207629.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ADAMTS1	ADAMTS1	NM_006988.5	protein_coding	0	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0
ADAMTS5	ADAMTS5	NM_007038.5	protein_coding	0	2	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0
ADARB1	ADARB1	NM_001112.4	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
ADARB1	ADARB1	NM_001160230.2	protein_coding	0	2	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0
ADARB1	ADARB1	NM_001346687.2	protein_coding	0	1	2	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0
ADARB1	ADARB1	NM_001346688.1	protein_coding	0	2	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0
ADARB1	ADARB1	NM_015833.4	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
ADARB1	ADARB1	NM_015834.4	protein_coding	0	2	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0
ADARB1	ADARB1	NR_027672.2		0	0	0	5	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
ADARB1	ADARB1	NR_027673.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ADARB1	ADARB1	NR_027674.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ADARB1	ADARB1	NR_073200.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ADARB1	ADARB1	NR_144483.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
AIRE	AIRE	NM_000383.4	protein_coding	0	16	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	16	0
APP	APP	NM_000484.4	protein_coding	0	9	5	2	0	0	0	0	0	0	0	0	2	5	0	1	0	0	9	0
APP	APP	NM_001136016.3	protein_coding	0	9	5	2	0	0	0	0	0	0	0	0	2	5	0	1	0	0	9	0
APP	APP	NM_001136129.3	protein_coding	0	8	4	4	0	0	0	0	0	0	0	0	4	4	0	1	0	0	8	0
APP	APP	NM_001136130.3	protein_coding	0	9	5	2	0	0	0	0	0	0	0	0	2	5	0	1	0	0	9	0
APP	APP	NM_001136131.2	protein_coding	0	8	4	4	0	0	0	0	0	0	0	0	4	4	0	1	0	0	8	0
APP	APP	NM_001204301.2	protein_coding	0	9	5	2	0	0	0	0	0	0	0	0	2	5	0	1	0	0	9	0
APP	APP	NM_001204302.2	protein_coding	0	9	5	2	0	0	0	0	0	0	0	0	2	5	0	1	0	0	9	0
APP	APP	NM_001204303.2	protein_coding	0	8	4	4	0	0	0	0	0	0	0	0	4	4	0	1	0	0	8	0
APP	APP	NM_201413.3	protein_coding	0	9	5	2	0	0	0	0	0	0	0	0	2	5	0	1	0	0	9	0
APP	APP	NM_201414.3	protein_coding	0	8	4	4	0	0	0	0	0	0	0	0	4	4	0	1	0	0	8	0
BACE2	BACE2	NM_012105.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BACE2	BACE2	NM_138991.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BACE2	BACE2	NM_138992.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BRWD1	BRWD1	NM_018963.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BRWD1	BRWD1	NM_033656.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C21orf58	C21orf58	NM_001286462.1	protein_coding	1	0	3	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0
C21orf58	C21orf58	NM_001286463.1	protein_coding	1	0	3	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0
C21orf58	C21orf58	NM_001286476.1	protein_coding	1	0	3	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1
C21orf58	C21orf58	NM_001286477.1	protein_coding	1	0	3	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1
C21orf58	C21orf58	NM_058180.5	protein_coding	0	0	1	4	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1
C21orf59-TCP10L	C21orf59-TCP10L	NM_001350338.2	protein_coding	1	2	3	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0
C21orf59-TCP10L	C21orf59-TCP10L	NR_146638.2		0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
C21orf59-TCP10L	C21orf59-TCP10L	NR_146639.2		0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
C2CD2	C2CD2	NM_015500.2	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
C2CD2	C2CD2	NM_199050.3	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
CBR1	CBR1	NM_001286789.2	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBR1	CBR1	NM_001757.4	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CBR3	CBR3	NM_001236.4	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CBR3-AS1	CBR3-AS1	NR_038892.1		0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CBR3-AS1	CBR3-AS1	NR_038893.1		0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CBR3-AS1	CBR3-AS1	NR_038894.1		0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CBS	CBS	NM_000071.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBS	CBS	NM_001178008.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBS	CBS	NM_001178009.3.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBS	CBS	NM_001320298.1.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBS	CBS	NM_001321072.1.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBS	CBS.2	NM_000071.2.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBS	CBS.2	NM_001178008.2.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBS	CBS.2	NM_001178009.3	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBS	CBS.2	NM_001320298.1	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBS	CBS.2	NM_001321072.1	protein_coding	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2
CBSL	CBSL	NM_001321073.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354006.1.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354007.1	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354008.1.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354009.1	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354010.1	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354012.1.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354014.1.2	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NM_001354015.1	protein_coding	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
CBSL	CBSL	NR_148682.1.2		0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
CBSL	CBSL.2	NM_001321073.2.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354006.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354007.1.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354008.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354009.1.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354010.1.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354012.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354014.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NM_001354015.1.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBSL	CBSL.2	NR_148682.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CFAP298	CFAP298	NM_001350334.2	protein_coding	0	1	2	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0
CFAP298	CFAP298	NM_001350335.1	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
CFAP298	CFAP298	NM_001350336.2	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
CFAP298	CFAP298	NM_001350337.2	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
CFAP298	CFAP298	NM_021254.4	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
CFAP410	CFAP410	NM_001271440.2	protein_coding	1	5	8	6	0	0	0	0	0	0	3	0	3	8	0	0	1	0	5	0
CFAP410	CFAP410	NM_001271441.2	protein_coding	1	7	9	3	0	0	0	0	0	0	3	0	0	9	0	1	1	0	7	0
CFAP410	CFAP410	NM_001271442.1	protein_coding	0	4	8	8	0	0	0	0	0	0	3	0	3	8	0	0	0	0	4	2
CFAP410	CFAP410	NM_004928.3	protein_coding	1	5	8	6	0	0	0	0	0	0	3	0	3	8	0	0	1	0	5	0
CHAF1B	CHAF1B	NM_005441.3	protein_coding	0	1	4	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0
CLDN14	CLDN14	NM_001146077.1	protein_coding	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
CLDN14	CLDN14	NM_001146078.3	protein_coding	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
CLDN14	CLDN14	NM_001146079.2	protein_coding	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
CLDN14	CLDN14	NM_012130.4	protein_coding	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
CLDN14	CLDN14	NM_144492.3	protein_coding	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
CLDN8	CLDN8	NM_199328.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CLIC6	CLIC6	NM_001317009.2	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0
CLIC6	CLIC6	NM_053277.3	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0
COL18A1	COL18A1	NM_030582.4	protein_coding	3	37	24	2	0	0	0	0	3	0	0	3	2	21	0	1	0	0	37	0
COL18A1	COL18A1	NM_130444.3	protein_coding	3	37	26	0	0	0	0	0	3	0	0	3	0	23	0	1	0	0	37	0
COL18A1	COL18A1	NM_130445.4	protein_coding	3	37	17	9	0	0	0	0	3	0	0	3	9	14	0	1	0	0	37	0
COL6A1	COL6A1	NM_001848.3	protein_coding	1	37	29	0	0	0	0	0	0	0	0	0	0	29	0	3	0	1	37	0
COL6A2	COL6A2	NM_001849.4	protein_coding	0	29	37	2	0	0	0	0	0	0	2	0	0	37	0	2	0	0	29	0
COL6A2	COL6A2	NM_058174.3	protein_coding	0	23	27	16	0	0	0	0	0	0	16	0	0	27	0	2	0	0	23	0
COL6A2	COL6A2	NM_058175.2	protein_coding	0	23	27	16	0	0	0	0	0	0	16	0	0	27	0	2	0	0	23	0
CRYAA	CRYAA.2	NM_000394.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CRYAA	CRYAA.2	NM_001363766.1.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRYAA2	CRYAA2.2	NM_001314050.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CRYAA2	CRYAA2.2	NM_001320719.1.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRYZL1	CRYZL1	NM_145858.3	protein_coding	0	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
CSTB	CSTB	NM_000100.3	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CXADR	CXADR	NM_001207063.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXADR	CXADR	NM_001207064.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXADR	CXADR	NM_001207065.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXADR	CXADR	NM_001207066.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CXADR	CXADR	NM_001338.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DIP2A	DIP2A	NM_001146115.2	protein_coding	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
DIP2A	DIP2A	NM_001146116.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0
DIP2A	DIP2A	NM_001353942.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0
DIP2A	DIP2A	NM_001353943.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0
